date,total_pnl,total_volume,win_rate,trade_count,sentiment
2024-08-19,339.69958299999996,100315.03,0.625,8,Fear
2024-08-20,192.602844,49914.8,0.08333333333333333,12,Fear
2024-08-21,656.200925,104990.41,0.3724137931034483,145,Fear
2024-08-23,1005.30527,63509.56,0.3,10,Fear
2024-08-24,0.0,34999.67,0.0,7,Greed
2024-08-26,231.236918,92611.27,0.3333333333333333,6,Greed
2024-08-28,1333.359645,71160.06999999999,0.2222222222222222,9,Fear
2024-08-29,0.0,9995.85,0.0,1,Fear
2024-08-30,256.464,37233.24,0.16666666666666666,6,Fear
2024-08-31,10.882801,107507.43000000001,0.35294117647058826,34,Fear
2024-09-01,137.433093,12359.68,0.4166666666666667,12,Fear
2024-09-02,0.0,30000.42,0.0,2,Fear
2024-09-04,1065.785132,131480.97,0.14705882352941177,34,Fear
2024-09-05,0.0,0.84,0.0,1,Fear
2024-09-06,-1104.856765,39047.1,0.0,42,Fear
2024-09-08,0.0,0.11,0.0,1,Fear
2024-09-09,0.0,4014.4300000000003,0.0,2,Fear
2024-09-10,-219.729659,2547.28,0.0,3,Fear
2024-09-11,0.0,0.54,0.0,1,Fear
2024-09-25,0.0,52754.130000000005,0.0,9,Greed
2024-09-27,0.0,126097.04,0.0,56,Greed
2024-09-28,0.0,29199.21,0.0,4,Greed
2024-09-30,2710.626288,214669.85,0.04716981132075472,106,Greed
2024-10-02,0.0,99954.34,0.0,4,Fear
2024-10-03,100.375782,132935.69,0.3333333333333333,9,Fear
2024-10-04,0.0,0.34,0.0,1,Fear
2024-10-10,0.0,300024.33999999997,0.0,16,Fear
2024-10-11,8885.327477,488904.19,0.6923076923076923,26,Fear
2024-10-15,1170.2260760000001,81173.36,0.5714285714285714,7,Greed
2024-10-16,219.480876,80229.17,0.2727272727272727,11,Greed
2024-10-17,36.11496,140531.75,0.1111111111111111,9,Greed
2024-10-18,333.219141,120331.43000000001,0.8333333333333334,6,Greed
2024-10-19,0.0,99996.86,0.0,4,Greed
2024-10-20,389.155797,176447.86000000002,0.11458333333333333,96,Greed
2024-10-21,2464.915564,324117.99,0.3930635838150289,173,Greed
2024-10-22,0.0,60000.36,0.0,3,Greed
2024-10-23,-46.489941,210006.07,0.0,18,Greed
2024-10-25,13235.862071,427883.18,0.7,30,Greed
2024-10-27,666.6623079999999,90664.41,0.75,4,Greed
2024-10-28,167.28016200000002,121495.25,0.3076923076923077,13,Greed
2024-10-29,801.170876,613267.8099999999,0.05660377358490566,53,Greed
2024-10-30,9.150023,11830.85,0.28,25,Greed
2024-10-31,1214.043811,896173.36,0.7083333333333334,48,Greed
2024-11-01,1040.475736,260981.03,0.2608695652173913,23,Greed
2024-11-02,0.0,40000.0,0.0,2,Greed
2024-11-03,0.0,129055.66,0.0,6,Greed
2024-11-04,2799.410474,451811.97,0.6388888888888888,36,Greed
2024-11-05,678.4759280000001,200627.23,0.5,10,Greed
2024-11-06,2817.83723,123906.9,0.4666666666666667,15,Greed
2024-11-07,4493.353136,111335.3,0.5309734513274337,113,Greed
2024-11-08,-64.41354100000007,270700.44,0.15384615384615385,39,Greed
2024-11-09,102.90894,193384.41,0.22093023255813954,86,Greed
2024-11-10,991.114334,413636.7,0.2947976878612717,173,Greed
2024-11-11,6749.630996,1570572.42,0.24664879356568364,373,Greed
2024-11-12,3494.399394,1226354.52,0.19883040935672514,171,Greed
2024-11-13,7846.402274,515336.37,0.5625,48,Greed
2024-11-14,4563.509225,1008361.81,0.2545454545454545,110,Greed
2024-11-15,4140.740438,1427858.42,0.3691275167785235,149,Greed
2024-11-16,2769.521909,303296.07,0.3057324840764331,157,Greed
2024-11-17,882.975285,1215987.57,0.23444976076555024,209,Greed
2024-11-18,4470.815187,2084339.58,0.3583815028901734,346,Greed
2024-11-19,2958.268991,628031.15,0.4918032786885246,305,Greed
2024-11-20,4210.0928969999995,1999514.1199999999,0.3981818181818182,550,Greed
2024-11-21,1692.430891,598300.62,0.308411214953271,535,Greed
2024-11-22,-18105.345617,1646713.62,0.3078055964653903,679,Greed
2024-11-23,2901.531638,516245.68,0.3526170798898072,363,Greed
2024-11-24,945.550386,664952.28,0.26744186046511625,172,Greed
2024-11-25,5523.740734,937410.87,0.4117647058823529,255,Greed
2024-11-26,1094.809359,1146902.44,0.2913907284768212,302,Greed
2024-11-27,-2654.495633,1444242.53,0.3474178403755869,213,Greed
2024-11-28,-127075.39958499999,1894225.15,0.32831325301204817,332,Greed
2024-11-29,176844.994152,794262.91,0.48854961832061067,393,Greed
2024-11-30,37316.69352,1732193.7,0.42091152815013405,373,Greed
2024-12-01,40886.364494,814711.82,0.53125,416,Greed
2024-12-02,18489.604313,585243.56,0.4074074074074074,270,Greed
2024-12-03,23576.539285,1084666.53,0.4304812834224599,374,Greed
2024-12-04,292891.815021,769287.65,0.46394984326018807,319,Greed
2024-12-05,71574.11848800001,1256750.79,0.4232456140350877,456,Greed
2024-12-06,-92624.643895,3471019.22,0.23325062034739455,403,Greed
2024-12-07,85906.279067,451733.42,0.4309210526315789,304,Greed
2024-12-08,15965.933436,932939.72,0.3619047619047619,420,Greed
2024-12-09,6310.967676,983949.68,0.31910946196660483,539,Greed
2024-12-10,39325.770231,3150424.08,0.5870927318295739,1596,Greed
2024-12-11,319051.554217,2194098.33,0.7125307125307125,1221,Greed
2024-12-12,599151.795008,4557189.87,0.6997929606625258,1932,Greed
2024-12-13,31935.901745,2880824.64,0.40153452685422,1173,Greed
2024-12-14,167801.399244,2369561.78,0.47368421052631576,1235,Greed
2024-12-15,97525.315279,2583269.81,0.24572775486152032,1697,Greed
2024-12-16,166774.344133,2740808.97,0.5071090047393365,1055,Greed
2024-12-17,219591.305172,5233597.63,0.4363730036063885,1941,Greed
2024-12-18,13682.994673,3798887.07,0.36599020293911827,1429,Greed
